,date,building_1,building_10,building_11,building_12,building_13a,building_13b,building_13c,building_13d,building_13e,building_13f,building_15,building_16,building_17,building_18,building_19,building_2,building_20,building_21,building_22,building_23,building_24,building_25,building_26,building_27,building_28,building_29,building_30,building_31,building_32,building_33,building_35,building_36,building_37,building_38,building_3a,building_3b,building_3d,building_3e,building_4,building_40,building_41,building_42,building_43,building_44,building_45,building_46,building_47,building_48,building_5,building_50,building_53,building_54,building_56,building_59,building_6,building_61,building_62,building_63,building_64,building_67,building_68,building_69,building_7,building_70,building_72,building_73,building_74,building_75,building_76,building_77,building_8,building_80,building_81,building_82,building_84,building_85,building_86,building_87,building_88,building_89,building_9,building_90
662,20150107,,,,,,,,,,,,,,,,,,,,,944.68359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,20150108,,,,,,,,,,,,,,,,,,,,,928.201171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,20150109,,,,,,,,,,,,,,,,,,,,,618.84375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,20150110,,,,,,,,,,,,,,,,,,,,,448.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,20150111,,,,,,,,,,,,,,,,,,,,,469.658203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,20150112,,,,,,,,,,,,,,,,,,,,,796.703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,20150113,,,,,,,,,,,,,,,,,,,,,906.087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,20150114,,,,,,,,,,,,,,,,,,,,,653.388671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,20150115,,,,,,,,,,,,,,,,,,,,,615.716796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,20150116,,,,,,,,,,,,,,,,,,,,,473.537109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,20150117,,,,,,,,,,,,,,,,,,,,,397.564453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
