date,Building_1,Building_10,Building_11,Building_12,Building_13A,Building_13B,Building_13C,Building_13D,Building_13E,Building_13F,Building_15,Building_16,Building_17,Building_18,Building_19,Building_2,Building_20,Building_21,Building_22,Building_23,Building_24,Building_25,Building_26,Building_27,Building_28,Building_29,Building_30,Building_31,Building_32,Building_33,Building_35,Building_36,Building_37,Building_38,Building_3A,Building_3B,Building_3D,Building_3E,Building_4,Building_40,Building_41,Building_42,Building_43,Building_44,Building_45,Building_46,Building_47,Building_48,Building_5,Building_50,Building_53,Building_54,Building_56,Building_59,Building_6,Building_61,Building_62,Building_63,Building_64,Building_67,Building_68,Building_69,Building_7,Building_70,Building_72,Building_73,Building_74,Building_75,Building_76,Building_77,Building_8,Building_80,Building_81,Building_82,Building_84,Building_85,Building_86,Building_87,Building_88,Building_89,Building_9,Building_90
20160601,,43795.0333333333,15564.9733333333,10105.1666666667,6615.14,720.633333333333,15553.8666666667,9610.76666666667,3098.6,,3667.26666666667,3883.06,,4459.16666666667,8030.31666666667,,650.833333333333,8510.96666666667,482.263333333333,,884.702083333333,1670.85333333333,8974.14333333333,42493.6666666667,66642.6131388346,652.666666666667,6054.1,3252.26666666667,993.4,435.839999999999,5552.09666666667,5891.26666666667,31677.4733333333,6245.45333333334,4925.38,323.143333333333,1630.4,1457.36666666667,13615.0333333333,3652,3780.4,1115.37333333333,2566.60666666667,6376.74,1926.43333333333,2444.63333333333,5299.66666666667,4295.38,3751.28,58.9866666666667,0,644.576666666667,1446.26666666667,681.436666666667,0,1638.04,139633.5,4051.33332888285,2830.64285714286,3967.16,5085.9,4939.33333333333,0,2527.27333333333,33842.3133333333,4100.24228979747,1760.8,43470.3333333333,23766.3666666667,20395.6,1494.85333333333,0.033333333333333,7816.31666666667,51084.5333333333,3772.23333333333,13289.0666666667,10581.1266666667,5115.48,1022.54,6598.55,1003.19333333333,4828.12666666667
20160701,25565.8452203586,45791.6774193548,14757.2387096774,9178.1935483871,5828.72903225807,701.651612903226,14095.2903225806,9341.03225806452,2854.61290322581,9556.38461538462,3346.45161290323,3819.70967741935,,16811.8709677419,7789.6870967742,,757.390322580645,8282.2064516129,525.76129032258,6153.255,706.195564516129,1769.45161290323,8010.26774193548,41857.0967741935,65663.2710669733,768.225806451613,5787.74193548387,3145.16129032258,981.912903225807,509.109677419356,7703.42258064516,5784.45161290323,30289.4838709677,6489.31612903226,4470.1935483871,356.448387096774,1475.48387096774,1390.03225806452,14273.935483871,3657.61290322581,3772.69677419355,1331.22903225806,2432,5888.14516129032,1874.54838709677,2242.89032258065,5482.65161290323,4096.83225806452,3542.90322580645,66.0451612903226,0,740.338709677419,1297.74193548387,511,0,1753.67741935484,812527.096774194,3790.87741248838,3500.79032258065,3830.1935483871,4825.86451612903,4856.61290322581,0,2341.62903225806,32565.3935483871,4204.93881926998,1692.12903225806,45831.464516129,22445.5483870968,19881.6451612903,1518.49032258065,6407.83870967742,5176.74193548387,46939.4838709677,3683.67741935484,11352.7741935484,10956.7677419355,5205.75161290323,922.777419354839,6249.51935483871,1004.36129032258,4659.80322580645
20160801,26439.475265071,53868.935483871,15607.2774193548,10185.3870967742,5889.06451612903,679.470967741936,13922.6451612903,9090.8064516129,2891.06451612903,10256.7419354839,4213.83870967742,3984.53225806452,,2343.06451612903,7775.38709677419,,776.151612903226,8812.06451612903,610.454838709678,6036.97741935484,971.334677419355,2433.13548387097,9156.23870967742,45870.7096774194,65012.6882698305,991.225806451613,7398.1935483871,2959.06451612903,1392.63548387097,453.987096774194,8334.97419354839,6084.26774193548,31727.1032258065,5575.68387096774,4297.96774193548,369.8,1468.1935483871,1489.2,16708.1290322581,3460.77419354839,3960.07096774194,1169.54838709677,2761.74838709677,6992.77741935484,2104.4,2856.8064516129,5314.49677419355,4201.98387096774,4148.9935483871,32.9354838709677,0,960.625806451613,1001.83548387097,528.303225806452,0,1926.26129032258,863442.580645161,4268.75482337706,3142.35161290323,4663.08387096774,5414.63225806452,5956.58064516129,0,2384.34838709677,39083.9677419355,3969.33212111073,1906.77419354839,46949.5161290323,155533.096774194,117054.516129032,2219.5935483871,10930.3225806452,3191.40322580645,50288.1290322581,5074.70967741936,6156.87096774194,11547.7741935484,5847.36451612903,1120.85806451613,6686.78387096774,1215.99032258065,5887.35806451613
20160901,24004.2998067633,50865.8666666667,14273.08,10931.5,4612.96,686.293333333333,13041.06,8195.46666666667,2672.53333333333,10496.8466666667,3588.43333333333,3868.48333333333,59.3333333333333,11942.4333333333,6925.84666666667,,761.506666666667,8857.93333333333,767.173333333333,7033.59,958.258333333333,2228.14666666667,9716.97,45907.5333333333,63794.9685770671,900.466666666667,6759.76,2851.63333333333,1183.76666666667,413.440000000001,7891.31666666667,5865.63666666667,28976.6666666667,4505.63333333333,4286.51333333333,284.796666666667,1472.86666666667,1443.03333333333,17893.0666666667,2809,3682.32666666667,1090.26,2603.76666666667,6450.16666666667,1931.26666666667,2593.23333333333,4745.85333333333,3307.96333333333,3879.74,25.2633333333333,0,715.573333333333,911.266666666667,696.826666666667,0,2084.11666666667,872233.333333334,4478.37332382202,195.2,4440.74666666667,4646.67333333333,5820.96666666667,0,2426.88666666667,38757.1133333333,2936.8136008336,1573.5,47569.9466666667,22987.2333333333,20166.1333333333,1848.44,10066.5333333333,3416.81666666667,53579.0333333333,3533.46666666667,12637.8333333333,11903.7166666667,5579.76,1061.15,6269.72666666667,984.973333333334,6724.42333333333
20161001,22678.9322779968,48749.3870967742,13221.9322580645,476735.283870968,4582.22580645161,669.170967741936,12748.2258064516,8376.93548387097,2646.61290322581,9892.5935483871,4230.06451612903,4274.97419354839,140.870967741935,14044.4838709677,6846.77096774194,,691.258064516129,7559.68387096774,619.187096774194,37263.5129032258,779.282258064516,2109.3935483871,10712.8741935484,47591.0967741936,63933.5959590789,841.354838709677,6879.87096774194,2477.41935483871,1187.09677419355,432.309677419355,7725.84516129032,6362.8,27701.6193548387,4203.1935483871,4174.21290322581,359.464516129032,1538.22580645161,1408.64516129032,18640.3419354839,2967.91612903226,3925.94193548387,1321.33870967742,2628.41935483871,6484.12903225806,1939.25806451613,2611.35483870968,4953.45161290323,3158.55483870968,3840.2064516129,28.441935483871,0,705.177419354839,877.774193548387,750.032258064516,0,2147.85806451613,833563.225806452,3952.73871717145,1717.47741935484,4383.0064516129,5307.52580645161,6138.16129032258,0,2612.67096774194,38493.2161290323,3500.35841932751,1526.61290322581,50099.1387096774,24287.6129032258,19939.5806451613,1708.6064516129,10004.0967741936,3476.53548387097,54684.6258064516,4065.29032258065,10106.2903225806,11639.0451612903,5562.6935483871,1070.03548387097,6549.4,721.012903225806,8550.19032258064
20161101,22562.19784386,52686.6333333333,11456.0933333333,11617.4333333333,4900.31666666667,662.19,12232.5,8096.8,2489.23333333333,9627.25333333333,3938.83333333333,4430.47,287.866666666667,10232.6666666667,6100.14,,895.3,6607.53333333333,576.623333333333,37029.3933333333,551.435416666667,2065.15333333333,12422.89,49193.4,62547.8420206706,644.733333333333,5918.6,2328.1,838.4,395.52,7115.31,6178.36,27668.0333333333,3563.53333333333,4627.14,343.346666666667,1790.63333333333,1453.9,17992.8333333333,2896.49,3823.80666666667,1471.57333333333,2462.16666666667,6044.09333333333,1697.83333333333,2434.59333333333,4908.69333333333,2044.18666666667,4594.13333333333,26.9233333333333,40.66,480.676666666667,901.523333333333,831.256666666667,0,2222.33333333333,815803.333333334,3927.55000038147,2493.2,4129.66666666667,4998.88666666667,6121.66666666667,0,3135.35333333333,35533.4666666667,3542.43734162648,1401.03333333333,51212.2566666667,24798.4666666667,20186.4666666667,894.586666666667,9912.3,4073.5,51945.4,3450.5,10635.4533333333,12409.19,5211.89666666667,5513.11333333333,5659.15666666667,352.77,8605.95666666667
20161201,20478.0364633526,44221.4838709677,9878.34838709677,10612.0709677419,4874.87096774194,553.796774193548,12239.9677419355,7981.41935483871,2421.61290322581,10128.1612903226,2987.48387096774,5194.28709677419,743.064516129032,13107.4333333333,4632.32903225806,,840.806451612903,6249.67741935484,602.558064516129,33695.0290322581,459.921370967742,2819.50967741936,5231.94838709677,45730.9677419355,59411.4443339686,454.870967741936,0,1957.93548387097,785.935483870968,413.729032258065,7296.92903225806,5838.65483870968,22148.8806451613,2452.93548387097,4021.78709677419,215.5,1765.64516129032,1393.45161290323,14523.7741935484,2541.72580645161,4722.26451612903,1364.09032258065,1337.61290322581,3027.69032258064,631.451612903226,2354.01935483871,3172.90967741936,818.712903225806,4803.48387096774,33.5483870967742,7281.43225806452,444.112903225807,979.88064516129,669.748387096774,0,2278.70967741935,821789.677419355,326.02257907006,2536.1935483871,3414.96774193548,5431.94516129032,6748.77419354839,0,3166.2064516129,35101.2,3113.34745034864,843.903225806452,51029.264516129,28240.935483871,19113.7419354839,1016.3,9839.09677419355,4564.84516129032,55772.3032258065,3081.74193548387,6316.94193548387,12194.2612903226,3976.66129032258,4950.85161290323,4283.69032258065,218.212903225806,7387.73870967742
20170101,25374.578104329,48969.2258064516,10567.1580645161,10783.1516129032,5514.18064516129,596.845161290323,12614.4451612903,8637.87096774194,2110.83870967742,11174.235483871,4120.77741935484,5319.36129032258,687.580645161291,5180.87096774194,5015.69677419355,,1056.06451612903,5758.78064516129,428.348387096774,36786.8,513.243951612903,4108.27741935484,4603.97419354839,52702.4193548387,47132.2253437657,396.838709677419,0,2364.54838709677,803.716129032258,395.767741935483,7531.1064516129,6215.09032258065,15255,2995.4,4136.67741935484,223.912903225806,1896.70967741935,1714.17741935484,15962.4967741935,2748.09677419355,4474.47096774194,1259.62258064516,1302.06451612903,2867.2,656.838709677419,2435.90322580645,3466.06451612903,642.035483870968,5881.22580645161,34.8612903225806,7551.61612903226,477.109677419355,866.258064516129,725.390322580645,0,2251.20967741935,833728.838709678,8867.47087490943,3186.98709677419,3460.71935483871,4630.34838709677,6671.77419354839,0,3723.40322580645,41619.6129032258,3411.67327302502,797.741935483871,53510.4709677419,29207.0967741935,18600.3870967742,1150.49032258065,9786.70967741935,5312.43870967742,60648.6774193548,2238.09677419355,6301.86451612903,12830.2903225806,4025.74516129032,4407.68709677419,4421.7,159.122580645161,7429.33870967742
20170201,25729.4845843143,55638.8928571429,10905.2428571429,11855.1928571429,6040.59285714286,622.796428571429,13072.5785714286,9634.10714285714,1126.57142857143,12230.275,3753.38928571428,5410.35357142857,798.678571428571,5287.64285714286,5481.63214285714,,1281.42857142857,5401.67857142857,698.060714285714,40543.3428571429,625.46875,4035.16071428571,5962.77142857143,56380.0357142857,40587.59715271,347.142857142857,0,2516.21428571429,952.685714285714,366.857142857143,5806.25,6281.26428571428,0,2994.78571428571,4314.70714285714,283.478571428571,2059.64285714286,1893.925,16238.2785714286,2991.79285714286,4250.88571428571,1173.10357142857,2230.46428571429,5214.15714285714,1414.75714285714,2298.85714285714,4694.46428571429,1422.50714285714,6189.89285714286,45.4678571428571,8819.05357142857,475.317857142857,1004.39285714286,892.85,0,2240.14642857143,887745.928571428,5076.78928402491,3449.37857142857,4657.18928571429,5060.77857142857,7409.67857142857,0,4146.89642857143,40541.25,3327.25673246384,877.678571428571,27297.0571428571,28467.6785714286,20316.5,1173.01428571429,12722.5714285714,5508.95,58774.2571428571,3753.28571428571,8959.50714285714,14346.2285714286,4460.07857142857,5542.67142857143,5404.16785714286,277.732142857143,8990.52142857143
20170301,26814.1043199355,64500.3548387097,12953.9870967742,15692.1290322581,7199.35483870968,709.632258064516,14413.2903225806,10679.5483870968,0,14919.8129032258,4320.93548387097,6045.35161290323,535.709677419355,0,3863.65806451613,,1831.09677419355,6257.67741935484,939.535483870968,38706.8096774194,1219.0564516129,3995.89677419355,10477.3161290323,66966.9032258064,35553.6381274808,807.774193548387,0,2866.12903225806,1624.68387096774,462.658064516128,7677.86129032258,6957.52903225806,2181.07741935484,3193.70322580645,4823.98064516129,292.41935483871,2035.74193548387,1750.74,19832.2258064516,3726.97419354839,4565.09677419355,1014.1064516129,2734.1935483871,6565.1935483871,1795.29032258065,2986.25806451613,4422.1935483871,1875.59677419355,9246.36774193548,56.8967741935484,8962.04193548387,766.474193548387,1422.39677419355,905.551612903226,0,2365.97419354839,970593.548387097,5260.68064677331,3818.98709677419,4930.08064516129,4937.37096774194,8054.32258064516,0,4107.91290322581,51141.8774193549,3735.29611436205,850.387096774194,27073.8709677419,30736.0967741935,20842.0967741935,2206.23225806452,13395.935483871,5202.58064516129,59836.4838709677,4509.12903225806,13533.9032258065,15230.4064516129,6100.74193548387,6937.37096774194,7272.85483870968,371.725806451613,10435.5032258065
